level,file,issue,metric,n
SEC,2024_SEE_SEN_FED_MR_NAL_SEC.csv,missing_in_warehouse,PRI,56
SEC,2024_SEE_SEN_FED_MR_NAL_SEC.csv,missing_in_warehouse,PRI_PRD,56
SEC,2024_SEE_SEN_FED_MR_NAL_SEC.csv,missing_in_warehouse,PT,56
SEC,2024_SEE_SEN_FED_MR_NAL_SEC.csv,missing_in_warehouse,PT_MORENA,56
SEC,2024_SEE_SEN_FED_MR_NAL_SEC.csv,missing_in_warehouse,PVEM,56
SEC,2024_SEE_SEN_FED_MR_NAL_SEC.csv,missing_in_warehouse,PVEM_MORENA,56
SEC,2024_SEE_SEN_FED_MR_NAL_SEC.csv,missing_in_warehouse,PVEM_PT,56
SEC,2024_SEE_SEN_FED_MR_NAL_SEC.csv,missing_in_warehouse,PVEM_PT_MORENA,56
SEC,2024_SEE_SEN_FED_MR_NAL_SEC.csv,missing_in_warehouse,TOTAL_VOTOS,56
DIS,2024_SEE_SEN_FED_MR_NAL_DIS.csv,value_mismatch,NUM_VOTOS_CAN_NREG,55
DIS,2024_SEE_SEN_FED_MR_NAL_DISCAND.csv,value_mismatch,NUM_VOTOS_CAN_NREG,55
DIS,2024_SEE_SEN_FED_MR_NAL_DISPP.csv,value_mismatch,NUM_VOTOS_CAN_NREG,55
SEC,2024_SEE_DIP_FED_RP_NAL_SEC.csv,value_mismatch,MC,51
SEC,2024_SEE_DIP_FED_RP_NAL_SEC.csv,value_mismatch,MORENA,51
SEC,2024_SEE_DIP_FED_RP_NAL_SEC.csv,value_mismatch,NUM_VOTOS_VALIDOS,51
SEC,2024_SEE_DIP_FED_RP_NAL_SEC.csv,value_mismatch,PRI,51
SEC,2024_SEE_DIP_FED_RP_NAL_SEC.csv,value_mismatch,PT,51
SEC,2024_SEE_DIP_FED_RP_NAL_SEC.csv,value_mismatch,PVEM,51
SEC,2024_SEE_DIP_FED_RP_NAL_SEC.csv,value_mismatch,TOTAL_VOTOS,51
DIS,2024_SEE_SEN_FED_MR_NAL_DISCAND.csv,value_mismatch,MORENA,50
DIS,2024_SEE_SEN_FED_MR_NAL_DISCAND.csv,value_mismatch,PT,50
DIS,2024_SEE_SEN_FED_MR_NAL_DISCAND.csv,value_mismatch,PVEM,50
SEC,2024_SEE_DIP_FED_RP_NAL_SEC.csv,value_mismatch,NUM_VOTOS_NULOS,50
SEC,2024_SEE_DIP_FED_RP_NAL_SEC.csv,value_mismatch,PAN,50
MUN,2024_SEE_SEN_FED_MR_NAL_MUN.csv,value_mismatch,NUM_VOTOS_CAN_NREG,49
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,NUM_VOTOS_CAN_NREG,48
DIS,2024_SEE_DIP_FED_MR_NAL_DISCAND.csv,value_mismatch,NUM_VOTOS_CAN_NREG,48
DIS,2024_SEE_DIP_FED_MR_NAL_DISPP.csv,value_mismatch,NUM_VOTOS_CAN_NREG,48
MUN,2024_SEE_DIP_FED_MR_NAL_MUN.csv,value_mismatch,NUM_VOTOS_CAN_NREG,46
SEC,2024_SEE_DIP_FED_RP_NAL_SEC.csv,value_mismatch,PRD,46
SEC,2024_SEE_DIP_FED_RP_NAL_SEC.csv,value_mismatch,PAN_PRI_PRD,45
SEC,2024_SEE_DIP_FED_RP_NAL_SEC.csv,value_mismatch,PVEM_PT_MORENA,44
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,missing_in_warehouse,PT_MORENA,40
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,missing_in_warehouse,PVEM_MORENA,40
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,missing_in_warehouse,PVEM_PT,40
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,missing_in_warehouse,PVEM_PT_MORENA,40
DIS,2024_SEE_DIP_FED_MR_NAL_DISCAND.csv,missing_in_warehouse,PVEM_PT_MORENA,40
SEC,2024_SEE_DIP_FED_RP_NAL_SEC.csv,value_mismatch,PVEM_MORENA,40
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,missing_in_warehouse,MC,37
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,missing_in_warehouse,MORENA,37
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,missing_in_warehouse,NUM_VOTOS_CAN_NREG,37
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,missing_in_warehouse,NUM_VOTOS_NULOS,37
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,missing_in_warehouse,NUM_VOTOS_VALIDOS,37
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,missing_in_warehouse,PAN,37
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,missing_in_warehouse,PAN_PRD,37
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,missing_in_warehouse,PAN_PRI,37
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,missing_in_warehouse,PAN_PRI_PRD,37
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,missing_in_warehouse,PRD,37
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,missing_in_warehouse,PRI,37
